basin,basin_good,basin_repair,basin_bad,basin_sum_cases
internal,0.5757225433526012,0.07154784842646114,0.3527296082209377,7785.0
lake nyasa,0.6536873156342183,0.049164208456243856,0.29714847590953786,5085.0
lake rukwa,0.40749796251018744,0.1100244498777506,0.48247758761206194,2454.0
lake tanganyika,0.48305348258706465,0.11536069651741293,0.40158582089552236,6432.0
lake victoria,0.49765807962529274,0.09650663544106167,0.40583528493364557,10248.0
pangani,0.6008948545861298,0.053355704697986575,0.34574944071588365,8940.0
rufiji,0.6354062186559679,0.05478936810431294,0.30980441323971913,7976.0
ruvuma / southern coast,0.3716892944580458,0.07255731137324728,0.5557533941687068,4493.0
wami / ruvu,0.5238015700684817,0.044930683146818105,0.4312677467847002,5987.0
total,0.543080808080808,0.07267676767676767,0.3842424242424242,59400.0
