lga,lga_good,lga_repair,lga_bad,lga_sum_cases
arusha rural,0.6988817891373802,0.038338658146964855,0.26277955271565495,1252.0
arusha urban,0.6666666666666666,0.1111111111111111,0.2222222222222222,63.0
babati,0.7455968688845401,0.10371819960861056,0.1506849315068493,511.0
bagamoyo,0.7321965897693079,0.0020060180541624875,0.2657973921765296,997.0
bahi,0.7053571428571429,0.0,0.29464285714285715,224.0
bariadi,0.4927782497875956,0.34749362786745963,0.15972812234494477,1177.0
biharamulo,0.6799007444168734,0.052109181141439205,0.2679900744416873,403.0
bukoba rural,0.459958932238193,0.19917864476386038,0.3408624229979466,487.0
bukoba urban,0.5227272727272727,0.11363636363636363,0.36363636363636365,88.0
bukombe,0.6108949416342413,0.10311284046692606,0.28599221789883267,514.0
bunda,0.3036529680365297,0.0136986301369863,0.682648401826484,438.0
chamwino,0.414985590778098,0.08357348703170028,0.5014409221902018,347.0
chato,0.5677966101694916,0.012711864406779662,0.4194915254237288,236.0
chunya,0.24161073825503357,0.33557046979865773,0.4228187919463087,298.0
dodoma urban,0.24581005586592178,0.1005586592178771,0.6536312849162011,358.0
geita,0.5450819672131147,0.03483606557377049,0.42008196721311475,488.0
hai,0.8704,0.0064,0.1232,625.0
hanang,0.6970802919708029,0.0,0.3029197080291971,274.0
handeni,0.547244094488189,0.003937007874015748,0.44881889763779526,254.0
igunga,0.4260355029585799,0.038461538461538464,0.5355029585798816,338.0
ilala,0.6901408450704225,0.0,0.30985915492957744,497.0
ileje,0.683982683982684,0.008658008658008658,0.30735930735930733,231.0
ilemela,0.47183098591549294,0.06338028169014084,0.4647887323943662,142.0
iramba,0.6176470588235294,0.08823529411764706,0.29411764705882354,544.0
iringa rural,0.7513736263736264,0.013736263736263736,0.2348901098901099,728.0
kahama,0.5526315789473685,0.004784688995215311,0.44258373205741625,836.0
karagwe,0.5304798962386511,0.058365758754863814,0.41115434500648507,771.0
karatu,0.9693251533742331,0.003067484662576687,0.027607361963190184,326.0
kasulu,0.5835721107927412,0.19197707736389685,0.224450811843362,1047.0
kibaha,0.6728624535315985,0.022304832713754646,0.3048327137546468,269.0
kibondo,0.517162471395881,0.07665903890160183,0.4061784897025172,874.0
kigoma rural,0.345873786407767,0.39684466019417475,0.25728155339805825,824.0
kigoma urban,0.2112676056338028,0.11267605633802817,0.676056338028169,71.0
kilindi,0.453416149068323,0.006211180124223602,0.5403726708074534,161.0
kilolo,0.6246418338108882,0.0057306590257879654,0.36962750716332377,349.0
kilombero,0.5234619395203337,0.08446298227320125,0.3920750782064651,959.0
kilosa,0.5365630712979891,0.06672760511882998,0.396709323583181,1094.0
kilwa,0.30357142857142855,0.07397959183673469,0.6224489795918368,392.0
kinondoni,0.45161290322580644,0.0,0.5483870967741935,93.0
kisarawe,0.3811659192825112,0.0,0.6188340807174888,223.0
kishapu,0.45614035087719296,0.10776942355889724,0.43609022556390975,399.0
kiteto,0.23316062176165803,0.14507772020725387,0.6217616580310881,193.0
kondoa,0.4130019120458891,0.20267686424474188,0.384321223709369,523.0
kongwa,0.5623268698060941,0.0,0.4376731301939058,361.0
korogwe,0.5849514563106796,0.014563106796116505,0.40048543689320387,412.0
kwimba,0.7049441786283892,0.01594896331738437,0.27910685805422647,627.0
kyela,0.4190919674039581,0.009313154831199068,0.5715948777648429,859.0
lindi rural,0.5592783505154639,0.06701030927835051,0.37371134020618557,388.0
lindi urban,0.3333333333333333,0.0,0.6666666666666666,21.0
liwale,0.2532467532467532,0.01948051948051948,0.7272727272727273,154.0
longido,0.6451612903225806,0.0935483870967742,0.26129032258064516,310.0
ludewa,0.774822695035461,0.01950354609929078,0.20567375886524822,564.0
lushoto,0.6239193083573487,0.08501440922190202,0.2910662824207493,694.0
mafia,0.6893939393939394,0.12121212121212122,0.1893939393939394,132.0
magu,0.3446601941747573,0.09466019417475728,0.5606796116504854,824.0
makete,0.8952380952380953,0.0,0.10476190476190476,630.0
manyoni,0.33421750663129973,0.023872679045092837,0.6419098143236074,377.0
masasi,0.19507575757575757,0.12878787878787878,0.6761363636363636,528.0
maswa,0.61557478368356,0.07416563658838071,0.31025957972805934,809.0
mbarali,0.4968051118210863,0.21405750798722045,0.28913738019169327,626.0
mbeya rural,0.6020618556701031,0.05979381443298969,0.33814432989690724,485.0
mbinga,0.5266666666666666,0.076,0.3973333333333333,750.0
mbozi,0.43520309477756286,0.06769825918762089,0.49709864603481624,1034.0
mbulu,0.6430976430976431,0.03367003367003367,0.32323232323232326,297.0
meatu,0.6709401709401709,0.09829059829059829,0.23076923076923078,468.0
meru,0.6511397423191279,0.031714568880079286,0.31714568880079286,1009.0
misenyi,0.3230769230769231,0.13076923076923078,0.5461538461538461,260.0
missungwi,0.5517241379310345,0.0028735632183908046,0.4454022988505747,348.0
mkinga,0.7777777777777778,0.0,0.2222222222222222,288.0
mkuranga,0.48392857142857143,0.010714285714285714,0.5053571428571428,560.0
monduli,0.5026455026455027,0.15873015873015872,0.3386243386243386,189.0
morogoro rural,0.4836852207293666,0.09980806142034548,0.4165067178502879,521.0
morogoro urban,0.6770833333333334,0.0625,0.2604166666666667,96.0
moshi rural,0.5859312549960032,0.09512390087929656,0.31894484412470026,1251.0
moshi urban,0.7974683544303798,0.0,0.20253164556962025,79.0
mpanda,0.3873343151693667,0.12223858615611193,0.49042709867452133,679.0
mpwapwa,0.5154639175257731,0.0979381443298969,0.3865979381443299,388.0
mtwara rural,0.4515366430260047,0.016548463356973995,0.5319148936170213,423.0
mtwara urban,0.532258064516129,0.07258064516129033,0.3951612903225806,124.0
mufindi,0.7076923076923077,0.011538461538461539,0.28076923076923077,520.0
muheza,0.655688622754491,0.0,0.344311377245509,334.0
muleba,0.4552238805970149,0.022388059701492536,0.5223880597014925,402.0
musoma rural,0.37626262626262624,0.06565656565656566,0.5580808080808081,396.0
mvomero,0.4113263785394933,0.08196721311475409,0.5067064083457526,671.0
mwanga,0.44508670520231214,0.09441233140655106,0.4605009633911368,519.0
nachingwea,0.08666666666666667,0.05,0.8633333333333333,300.0
namtumbo,0.5605187319884726,0.025936599423631124,0.41354466858789624,694.0
nanyumbu,0.26582278481012656,0.0,0.7341772151898734,158.0
newala,0.21212121212121213,0.12987012987012986,0.658008658008658,231.0
ngara,0.5575485799701047,0.12705530642750373,0.3153961136023916,669.0
ngorongoro,0.5422885572139303,0.13930348258706468,0.31840796019900497,201.0
njombe,0.8018377946464242,0.037554934079105075,0.16060727127447064,2503.0
nkasi,0.3411214953271028,0.04672897196261682,0.6121495327102804,428.0
nyamagana,0.0,0.0,1.0,1.0
nzega,0.52,0.019130434782608695,0.4608695652173913,575.0
pangani,0.21311475409836064,0.009836065573770493,0.7770491803278688,305.0
rombo,0.3501683501683502,0.02861952861952862,0.6212121212121212,594.0
rorya,0.2619047619047619,0.004761904761904762,0.7333333333333333,210.0
ruangwa,0.17869415807560138,0.06872852233676977,0.7525773195876289,291.0
rufiji,0.43612334801762115,0.013215859030837005,0.5506607929515418,454.0
rungwe,0.6112115732368897,0.14556962025316456,0.24321880650994576,1106.0
same,0.5119726339794755,0.14937286202964653,0.338654503990878,877.0
sengerema,0.48338368580060426,0.0,0.5166163141993958,331.0
serengeti,0.5921787709497207,0.03770949720670391,0.37011173184357543,716.0
shinyanga rural,0.564625850340136,0.01870748299319728,0.4166666666666667,588.0
shinyanga urban,0.5602094240837696,0.04712041884816754,0.39267015706806285,191.0
siha,0.9493087557603687,0.004608294930875576,0.04608294930875576,434.0
sikonge,0.28823529411764703,0.0,0.711764705882353,170.0
simanjiro,0.5811688311688312,0.016233766233766232,0.4025974025974026,308.0
singida rural,0.4402010050251256,0.062311557788944726,0.49748743718592964,995.0
singida urban,0.6271186440677966,0.05084745762711865,0.3220338983050847,177.0
songea rural,0.6046176046176046,0.049062049062049064,0.3463203463203463,693.0
songea urban,0.6375,0.0375,0.325,80.0
sumbawanga rural,0.43378119001919385,0.061420345489443376,0.5047984644913628,521.0
sumbawanga urban,0.4,0.0,0.6,180.0
tabora urban,0.34838709677419355,0.0,0.6516129032258065,155.0
tandahimba,0.2744360902255639,0.045112781954887216,0.6804511278195489,266.0
tanga,0.42424242424242425,0.030303030303030304,0.5454545454545454,99.0
tarime,0.5980861244019139,0.0,0.4019138755980861,209.0
temeke,0.35348837209302325,0.013953488372093023,0.6325581395348837,215.0
tunduru,0.5342789598108747,0.12293144208037825,0.34278959810874704,423.0
ukerewe,0.2668621700879765,0.19941348973607037,0.533724340175953,341.0
ulanga,0.6571428571428571,0.04962406015037594,0.2932330827067669,665.0
urambo,0.40575916230366493,0.03664921465968586,0.5575916230366492,382.0
uyui,0.4336283185840708,0.02064896755162242,0.5457227138643068,339.0
total,0.543080808080808,0.07267676767676767,0.3842424242424242,59400.0
