Region,District,Ward,Village,Total Population
Dodoma,Kondoa,bumbuta,bumbuta,3
Dodoma,Kondoa,bumbuta,mahongo,1
Dodoma,Kondoa,bumbuta,mauno,4
Dodoma,Kondoa,pahi,pahi,6
Dodoma,Kondoa,pahi,potea,2
Dodoma,Kondoa,pahi,salare,2
Dodoma,Kondoa,pahi,kiteo,4
Dodoma,Kondoa,busi,busi,3
Dodoma,Kondoa,busi,sambwa,4
Dodoma,Kondoa,busi,keikei,4
Dodoma,Kondoa,busi,idindiri,3
Dodoma,Kondoa,busi,ihari,3
Dodoma,Kondoa,busi,isusumya,2
Dodoma,Kondoa,haubi,haubi,6
Dodoma,Kondoa,haubi,ntomoko,5
Dodoma,Kondoa,haubi,mafai,3
Dodoma,Kondoa,kalamba,baura,1
Dodoma,Kondoa,kalamba,kalamba chini,3
Dodoma,Kondoa,kalamba,hebi chini,3
Dodoma,Kondoa,kalamba,loo,3
Dodoma,Kondoa,kalamba,hebi juu,1
Dodoma,Kondoa,kalamba,kalamba juu,3
Dodoma,Kondoa,kwadelo,kwadelo,6
Dodoma,Kondoa,kwadelo,kirere cha ng'ombe,1
Dodoma,Kondoa,kwadelo,makirinya,5
Dodoma,Kondoa,masange,masange,4
Dodoma,Kondoa,masange,kwayondu,2
Dodoma,Kondoa,masange,kikilo kati,3
Dodoma,Kondoa,kikilo,kikilo ororimo,2
Dodoma,Kondoa,kikilo,kwahengwa,2
Dodoma,Kondoa,kikilo,berabera,3
Dodoma,Kondoa,bereko,puhi,2
Dodoma,Kondoa,bereko,bereko,5
Dodoma,Kondoa,kisese,mapinduzi,1
Dodoma,Kondoa,kisese,kisese sauna,3
Dodoma,Kondoa,kisese,madisa,2
Dodoma,Kondoa,kisese,kisese dissa,3
Dodoma,Kondoa,kisese,atta,3
Dodoma,Kondoa,kikore,kikore,3
Dodoma,Kondoa,kikore,madege,795
Dodoma,Kondoa,kikore,hurui,4
Dodoma,Kondoa,kikore,mitati,5
Dodoma,Kondoa,kikore,mkurumuzi,963
Dodoma,Kondoa,serya,mongoroma,2
Dodoma,Kondoa,serya,chadimu,550
Dodoma,Kondoa,serya,munguri,1
Dodoma,Kondoa,serya,serya,2
Dodoma,Kondoa,kilimani,kwantisi,2
Dodoma,Kondoa,kilimani,bicha,2
Dodoma,Kondoa,kilimani,kilimani,2
Dodoma,Kondoa,kilimani,damai,896
Dodoma,Kondoa,chemchem,kwapakacha,998
Dodoma,Kondoa,chemchem,ubembeni,3
Dodoma,Kondoa,chemchem,iboni,2
Dodoma,Kondoa,chemchem,chemchem,2
Dodoma,Kondoa,hondomairo,mwembeni,3
Dodoma,Kondoa,hondomairo,hondomairo,2
Dodoma,Kondoa,hondomairo,mtibyangwi,3
Dodoma,Kondoa,bolisa,itiso,1
Dodoma,Kondoa,bolisa,bolisa,1
Dodoma,Kondoa,bolisa,poisa,1
Dodoma,Kondoa,kinyasi,kinyasi majengo,2
Dodoma,Kondoa,kinyasi,kinyasi kati,4
Dodoma,Kondoa,kinyasi,ikengwa,2
Dodoma,Kondoa,kinyasi,isongolo,728
Dodoma,Kondoa,salanka,makafa,2
Dodoma,Kondoa,salanka,lembo,1
Dodoma,Kondoa,salanka,salanka,3
Dodoma,Kondoa,salanka,masawi,2
Dodoma,Kondoa,salanka,alagawa,1
Dodoma,Kondoa,itololo,mangolo,2
Dodoma,Kondoa,itololo,kandaga,2
Dodoma,Kondoa,itololo,itololo,1
Dodoma,Kondoa,itololo,mkekena,2
Dodoma,Kondoa,itololo,machinjioni,913
Dodoma,Kondoa,itaswi,itaswi,4
Dodoma,Kondoa,itaswi,haire,2
Dodoma,Kondoa,itaswi,kisaki,1
Dodoma,Kondoa,itaswi,chubi,3
Dodoma,Kondoa,suruke,mlua,2
Dodoma,Kondoa,suruke,tungufu,1
Dodoma,Kondoa,kingale,kingale,4
Dodoma,Kondoa,kingale,tampori,1
Dodoma,Kondoa,kingale,iyoli,3
Dodoma,Kondoa,kingale,chemchem,2
Dodoma,Kondoa,kondoa mjini,chemchem,4
Dodoma,Kondoa,kondoa mjini,mningani,4
Dodoma,Kondoa,kondoa mjini,kichangani,2
Dodoma,Kondoa,kondoa mjini,tura,1
Dodoma,Kondoa,kondoa mjini,mnarani,4
Dodoma,Kondoa,kolo,kolo,2
Dodoma,Kondoa,kolo,choka,1
Dodoma,Kondoa,kolo,hachwi,1
Dodoma,Kondoa,changaa,kwamafunchi,2
Dodoma,Kondoa,changaa,changaa,4
Dodoma,Kondoa,changaa,tumbelo,3
Dodoma,Kondoa,changaa,chololo,2
Dodoma,Kondoa,thawi,sakami,5
Dodoma,Kondoa,thawi,thawi madukani,5
Dodoma,Kondoa,thawi,thawi juu,1
Dodoma,Kondoa,mnenia,mnenia,3
Dodoma,Kondoa,mnenia,itundwi,3
Dodoma,Kondoa,mnenia,filimo,2
