ward,gps_height_s
aghondi,1314.3333333333333
akheri,1369.9555555555555
arash,1891.25
arri,1585.3157894736842
arusha chini,725.2280701754386
babayu,1120.0
badi,44.472300281011655
badugu,141.93068987749842
bahi,1120.0
balangidalalu,1434.2105263157894
baleni,-28.863636363636363
bangata,1619.1515151515152
bangwe,821.2222222222222
baraa,1421.5
bargish,1739.2777777777778
bariadi,188.2421410365336
barikiwa,499.90909090909093
barray,1084.75
bashay,1936.16
bashinet,2041.421052631579
bassodesh,1664.0
bassotu,1691.5555555555557
bendera,461.79411764705884
berega,474.5347349177333
berege,1120.0
bereko,1120.0
bigwa,522.3846153846154
biharamulo urban,1240.0
biirabo,1240.0
binagi,1644.4761904761904
biro,286.4375
bitale,1051.4814814814815
boma,517.0
boma la ng'ombe,1917.0675675675675
bombambili,1087.0
bombo,1356.388888888889
bonde la songwe,1711.0
bondeni,814.0
bonga,1417.4545454545455
bubiki,44.47230028101164
buchambi,44.47230028101163
budakwa,44.472300281011634
budekwa,44.472300281011655
budushi,1233.0
bugandika,1240.0
buganguzi,1240.0
bugarama,665.2270674427946
bugene,1240.0
bugogwe,225.22535211267606
bugomora,1240.0
bugoro,44.47230028101165
bugorora,1240.0
bugwema,1175.2
buhanda businde,829.8181818181819
buhemba,1390.9166666666667
buhendangabo,1240.0
buhigwe,1332.6363636363637
buhingo,141.93068987749842
buhongwa,225.22535211267595
buhoro,1377.6315789473683
bujashi,141.93068987749842
bujonde,1711.0
bujugo,1240.0
bukabwa,1237.0
bukanda,1172.047619047619
bukembe,1240.0
bukene,1233.0
bukiko,1169.2
bukima,1185.5714285714287
bukindo,1154.0
bukiriro,1240.0
bukoko,1233.0
bukoli,141.93068987749845
bukombe,44.47230028101163
bukome,1240.0
bukondo,141.9306898774984
bukongo,1188.4444444444443
bukumbi,1233.0
bukumi,1156.0
bukundi,44.47230028101164
bukura,1188.0
bukwe,1323.4
bukwimba,141.93068987749842
bulige,44.47230028101163
bulongwa,2033.1176470588234
bulungwa,44.47230028101166
bulyakashaju,1240.0
bumbuli,1248.0
bumbuta,1120.0
bumera,104.75164353542729
bumilayinga,1866.3793103448277
bunambiu,44.47230028101165
bunamhala,654.2857142857143
bunda,1285.7666666666667
bunduki,998.1666666666666
bungu,444.89247311827955
bungulwa,141.93068987749842
bunju,46.0
bunyambo,1333.138888888889
bupamwa,141.93068987749842
bupandwamhela,141.93068987749845
bupigu,1711.0
bupu,62.42857142857143
bureza,1240.0
buruma,1273.3529411764705
burungura,1240.0
busagara,1346.4561403508771
busanda,141.9306898774984
busangi,44.47230028101165
busawe,1258.2307692307693
buseresere,1240.0
bushiri,63.03114186851211
busi,1120.0
busilili,44.472300281011606
busisi,141.9306898774984
busole,1711.0
busolwa,141.93068987749842
busongo,141.93068987749842
buswahili,1195.7272727272727
buswelu,991.075
buterankuzi,1240.0
butiama,1412.1515151515152
butimba,1110.7962962962965
butuguri,1351.0
buyagu,141.9306898774984
buyango,1240.0
buziku,1240.0
buzilasoga,141.9306898774984
bwagamoyo,1527.7272727272727
bwakila chini,146.78787878787878
bwakila juu,360.2
bwambo,1682.5
bwanga,1240.0
bwanjai,1240.0
bwasi,1216.0
bwawani,964.5135135135135
bwembera,192.16666666666666
bweni,-9.459999999999999
bwera,1240.0
bweranyange,1240.0
bwiregi,1225.3939393939395
bwiro,1175.357142857143
bwisya,1167.695652173913
chabutwa,1233.0
chakwale,1053.876734842951
chala,1753.7692307692307
chalangwa,1711.0
chali,1120.0
chalinze,169.76530612244898
chamazi,19.0
chambo,44.47230028101164
chamkoroma,1120.0
chandama,1120.0
changaa,1120.0
chanika,131.3918128654971
chanzuru,439.6860465116279
chato,1240.0
chaume,351.3636363636364
chawi,68.52173913043478
chekelei,389.2857142857143
chela,44.47230028101166
chemba,1120.0
chemchem,1233.0
chibe,44.47230028101163
chibelela,1120.0
chienjere,379.1875
chifunfu,141.9306898774984
chigunga,141.93068987749842
chigungu,344.5
chihanga,1120.0
chikola,919.875
chikongola,-19.0
chikonji,93.0
chikuyu,858.4545454545455
chilangala,791.3333333333334
chilionwa,1120.0
chilulumo,1711.0
chimala,1711.0
chinamili,188.2421410365337
chingungwe,422.0769230769231
chinugulu,1120.0
chiola,343.6666666666667
chipanga,1120.0
chiponda,242.76666666666668
chipuputa,360.75
chirombola,364.3076923076923
chisano,305.0
chita,295.03225806451616
chitekete,586.125
chitete,1711.0
chiugutwa,288.7674418604651
chiwanda,468.04347826086956
chiwezi,1711.0
chiwonga,436.8181818181818
chokaa,1711.0
cholesamvula,314.5
choma,1233.0
chome,1600.6363636363637
chomvu,1457.3181818181818
chona,44.47230028101163
chongoleani,19.933333333333334
chumbi,-32.61538461538461
chumo,172.07692307692307
chuno,-44.8
chunyu,102.66179693206715
daa,1474.4705882352941
dabaga,1905.4444444444443
dabalo,1120.0
dabil,1603.1063829787233
dakama,44.47230028101167
dalai,1120.0
daluni,538.6325088339221
daraja mbili,1342.0
dareda,1625.4615384615386
daudi,1791.1666666666667
didia,44.472300281011655
digodigo,1297.75
dihimba,22.238095238095237
dindira,937.1428571428571
diongoya,354.3398058252427
doma,523.5957446808511
dongo,1347.0714285714287
dongobesh,1932.9024390243903
dosidosi,1438.7777777777778
duga,538.6325088339222
dumila,474.5347349177327
dunda,-20.02777777777778
dung'unyi,1550.107142857143
duru,1499.2666666666667
dutwa,188.24214103653355
elerai,1387.5454545454545
endabash,1427.95
endasak,1609.7575757575758
endulen,1623.7916666666667
engarenaibor,1673.6764705882354
engaruka,861.1428571428571
engusero,1458.8125
engutoto,1529.4285714285713
esilalei,979.1111111111111
etaro,1212.1764705882354
euga,352.6470588235294
farkwa,1120.0
fufu,1120.0
fukalo,141.9306898774984
funta,1239.157894736842
gairo,1326.875
galula,1711.0
gamboshi,188.2421410365336
gare,1371.2777777777778
gehandu,1682.0
gelai lumbwa,1244.142857142857
gelai meirugoi,1098.111111111111
gendabi,1655.6521739130435
gera,1240.0
gidahababieg,1499.5
gidas,1557.8947368421052
gisambalang,1455.875
gitting,1824.0
goba,82.48484848484848
gode gode,1120.0
goima,1120.0
gombero,538.6325088339223
gongoni,1233.0
goribe,1381.6666666666667
goweko,1233.0
gua,1711.0
gumanga,1407.909090909091
gumbiro,954.4772727272727
gungu,818.875
gwandi,1120.0
gwanumpu,1353.4705882352941
hai urban,931.6896551724138
haidom,1712.7333333333333
halungu,1711.0
handali,1120.0
haneti,1120.0
haubi,1120.0
hedaru,714.2946428571429
heka azimio,1231.5
hembeti,345.35714285714283
hemtoye,1596.0
heru- ushingo,1265.7857142857142
hidet,1571.5
hirbadaw,1598.4285714285713
hogoro,1120.0
hombolo,1120.0
hungumalwa,141.93068987749845
hunyari,1251.72
huzi,1120.0
ibadakuli,44.47230028101165
ibaga,1198.7142857142858
ibihwa,1120.0
ibiri,1233.0
ibugule,1120.0
ibumi,1110.111111111111
ibwera,1240.0
ichemba,1233.0
ichwankima,1240.0
idahina,44.47230028101165
idamba,1596.423076923077
idete,468.63461538461536
idetemya,141.93068987749845
idifu,1120.0
idodi,927.3555555555556
idodyandole,1277.5
idunda,1396.875
iduo,1120.0
ifakara,234.59701492537314
ifinga,691.0
ifumbo,1711.0
ifunda,1734.8260869565217
igalala,1233.0
igale,1711.0
igalla,1187.235294117647
igalukilo,141.93068987749845
igalula,992.5948977696182
igamba,1711.0
igandu,1120.0
igigwa,1233.0
igogo,141.9306898774984
igombavanu,1660.8823529411766
igombe mkulu,1233.0
igongolo,1689.984496124031
igongwa,141.93068987749842
igosi,2112.7133550488597
igoweko,1233.0
igowole,1886.9761904761904
iguguno,1398.3513513513512
igundu,1184.5384615384614
igunga,1233.0
igurubi,1233.0
igurusi,1711.0
igurwa,1240.0
igusule,1233.0
igwamanoni,44.47230028101163
ihalimba,1877.107142857143
ihanamilo,141.9306898774984
ihanda,1656.8141592920354
ihango,1711.0
ihanja,1506.2089552238806
ihembe,1240.0
ihowanza,1381.7692307692307
ijanija,1233.0
ijombe,1711.0
ijumbi,1240.0
ijunganyondo,1240.0
ikama,1711.0
ikhawoda,1617.076923076923
ikindwa,1233.0
ikinga,1711.0
ikola,772.4827586206897
ikolo,1711.0
ikoma,1490.904761904762
ikondo,842.2919188323243
ikongolo,1233.0
ikowa,1120.0
ikuka,1660.123076923077
ikungu,1485.1
ikunguigazi,44.472300281011634
ikungulyabashashi,188.24214103653364
ikuti,1711.0
ikuwo,2172.1111111111113
ikweha,1577.0
ikwiriri,-14.84
ilagala,855.3333333333334
ilangala,1166.1379310344828
ilela,1147.8823529411766
ilembo,667.2789115646258
ilembula,1477.357142857143
ilemela,789.1950328707087
ilima,1711.0
ilindi,1120.0
ilkiding'a,1669.5
ilola,44.47230028101163
ilolangulu,539.692175163924
ilolo mpya,739.7428571428571
ilonga,363.525
ilongero,1593.3492063492063
ilujamate,141.9306898774984
ilula,1355.5
